bitrate_gbps,alpha,mac_space,n_frames,modelo,filtrado_pct,descartes_mac_pct,aprendizaje_pct,eficiencia_pct
2.0,0.7,1000,30000,Base,,0.0,100.0,3.33
2.0,0.7,1000,30000,Con cache,96.66666666666667,0.0,100.0,100.0
2.0,0.7,2000,30000,Base,,0.0,100.0,6.66
2.0,0.7,2000,30000,Con cache,93.33666666666667,0.0,100.0,100.0
2.0,0.7,4000,30000,Base,,0.0,100.0,12.93
2.0,0.7,4000,30000,Con cache,86.90333333333334,0.0,100.0,98.75
2.0,0.7,6000,30000,Base,,0.0,100.0,18.27
2.0,0.7,6000,30000,Con cache,75.37666666666667,0.0,100.0,74.21
2.0,0.7,8000,30000,Base,,0.0,100.0,22.79
2.0,0.7,8000,30000,Con cache,66.25333333333333,0.0,100.0,67.53
2.0,0.7,10000,30000,Base,,0.0,100.0,26.64
2.0,0.7,10000,30000,Con cache,59.43666666666667,0.0,100.0,65.68
2.0,0.7,15000,30000,Base,,0.0,100.0,34.08
2.0,0.7,15000,30000,Con cache,49.04333333333334,0.0,100.0,66.87
2.0,0.7,20000,30000,Base,,0.0,99.9832144355854,39.71
2.0,0.7,20000,30000,Con cache,41.99,0.0,99.9832144355854,68.45
2.0,1.2,1000,30000,Base,,0.0,100.0,3.2
2.0,1.2,1000,30000,Con cache,96.79666666666667,0.0,100.0,100.0
2.0,1.2,2000,30000,Base,,0.0,100.0,5.32
2.0,1.2,2000,30000,Con cache,94.67999999999999,0.0,100.0,100.0
2.0,1.2,4000,30000,Base,,0.0,100.0,7.7
2.0,1.2,4000,30000,Con cache,92.29666666666667,0.0,100.0,100.0
2.0,1.2,6000,30000,Base,,0.0,100.0,8.94
2.0,1.2,6000,30000,Con cache,91.06333333333333,0.0,100.0,100.0
2.0,1.2,8000,30000,Base,,0.0,100.0,9.77
2.0,1.2,8000,30000,Con cache,90.22666666666666,0.0,100.0,100.0
2.0,1.2,10000,30000,Base,,0.0,100.0,10.43
2.0,1.2,10000,30000,Con cache,89.57000000000001,0.0,100.0,100.0
2.0,1.2,15000,30000,Base,,0.0,100.0,11.72
2.0,1.2,15000,30000,Con cache,88.28333333333333,0.0,100.0,100.0
2.0,1.2,20000,30000,Base,,0.0,100.0,12.53
2.0,1.2,20000,30000,Con cache,87.45666666666668,0.0,100.0,99.92
51.2,0.7,1000,30000,Base,,79.78333333333333,94.8,15.63
51.2,0.7,1000,30000,Con cache,93.20666666666668,3.0666666666666664,100.0,89.45
51.2,0.7,2000,30000,Base,,79.78333333333333,82.19109554777388,27.09
51.2,0.7,2000,30000,Con cache,87.14666666666666,5.726666666666667,99.94997498749375,93.45
51.2,0.7,4000,30000,Base,,79.78333333333333,62.31958762886598,39.87
51.2,0.7,4000,30000,Con cache,75.51666666666667,11.3,97.62886597938144,95.78
51.2,0.7,6000,30000,Base,,79.78333333333333,51.91535935789857,46.92
51.2,0.7,6000,30000,Con cache,64.10666666666667,16.226666666666667,91.13462240058374,84.68
51.2,0.7,8000,30000,Base,,79.78333333333333,46.043586368290185,51.9
51.2,0.7,8000,30000,Con cache,56.18333333333333,23.599999999999998,78.45546292233436,88.44
51.2,0.7,10000,30000,Base,,79.78333333333333,41.97947947947948,55.32
51.2,0.7,10000,30000,Con cache,49.88333333333333,29.903333333333332,68.66866866866866,90.5
51.2,0.7,15000,30000,Base,,79.78333333333333,36.86784701164042,62.14
51.2,0.7,15000,30000,Con cache,41.46666666666667,38.31666666666666,55.404480093905896,93.39
51.2,0.7,20000,30000,Base,,79.78333333333333,33.97398237515736,66.74
51.2,0.7,20000,30000,Con cache,35.373333333333335,44.41,48.56063785144776,95.4
51.2,1.2,1000,30000,Base,,79.78333333333333,64.09989594172737,10.16
51.2,1.2,1000,30000,Con cache,96.11666666666666,0.33666666666666667,99.79188345473466,90.13
51.2,1.2,2000,30000,Base,,79.78333333333333,48.80952380952381,12.84
51.2,1.2,2000,30000,Con cache,93.98333333333333,0.43,99.56140350877193,94.81
51.2,1.2,4000,30000,Base,,79.78333333333333,41.367373431414975,15.76
51.2,1.2,4000,30000,Con cache,91.51333333333334,0.5933333333333333,99.26438771094764,96.88
51.2,1.2,6000,30000,Base,,79.78333333333333,38.38120104438642,16.97
51.2,1.2,6000,30000,Con cache,90.32333333333334,0.54,99.17941066766132,97.01
51.2,1.2,8000,30000,Base,,79.78333333333333,36.83492496589359,17.81
51.2,1.2,8000,30000,Con cache,89.49666666666667,0.5633333333333334,99.24965893587995,97.59
51.2,1.2,10000,30000,Base,,79.78333333333333,36.752956216043465,18.96
51.2,1.2,10000,30000,Con cache,88.72333333333333,0.7433333333333334,98.46596356663471,97.5
51.2,1.2,15000,30000,Base,,79.78333333333333,33.39971550497866,19.36
51.2,1.2,15000,30000,Con cache,87.42333333333333,0.7633333333333333,98.46372688477952,97.66
51.2,1.2,20000,30000,Base,,79.78333333333333,33.93617021276596,21.04
51.2,1.2,20000,30000,Con cache,86.34666666666668,0.95,98.40425531914893,97.09
