bitrate_gbps,alpha,mac_space,n_frames,modelo,filtrado_pct,descartes_mac_pct,aprendizaje_pct,eficiencia_pct
2.0,0.7,1000,500,Base,,0.0,100.0,60.4
2.0,0.7,1000,500,Con cache,39.6,0.0,99.66887417218543,100.0
2.0,0.7,1000,500,CMS+cache,39.6,0.0,100.0,100.0
2.0,0.7,1000,1000,Base,,0.0,100.0,47.4
2.0,0.7,1000,1000,Con cache,52.6,0.0,100.0,100.0
2.0,0.7,1000,1000,CMS+cache,52.6,0.0,100.0,100.0
2.0,0.7,1000,1500,Base,,0.0,100.0,40.400000000000006
2.0,0.7,1000,1500,Con cache,59.599999999999994,0.0,100.0,100.0
2.0,0.7,1000,1500,CMS+cache,59.599999999999994,0.0,100.0,100.0
2.0,0.7,1000,2000,Base,,0.0,100.0,35.0
2.0,0.7,1000,2000,Con cache,65.0,0.0,100.0,100.0
2.0,0.7,1000,2000,CMS+cache,65.0,0.0,100.0,100.0
2.0,0.7,1000,3000,Base,,0.0,100.0,27.53333333333333
2.0,0.7,1000,3000,Con cache,72.46666666666667,0.0,100.0,100.0
2.0,0.7,1000,3000,CMS+cache,72.46666666666667,0.0,100.0,100.0
2.0,0.7,1000,4000,Base,,0.0,100.0,22.275
2.0,0.7,1000,4000,Con cache,77.725,0.0,100.0,100.0
2.0,0.7,1000,4000,CMS+cache,77.725,0.0,100.0,100.0
2.0,0.7,1000,5000,Base,,0.0,100.0,18.62
2.0,0.7,1000,5000,Con cache,81.38,0.0,100.0,100.0
2.0,0.7,1000,5000,CMS+cache,81.38,0.0,100.0,100.0
2.0,0.7,1000,7500,Base,,0.0,100.0,13.026666666666667
2.0,0.7,1000,7500,Con cache,86.97333333333333,0.0,100.0,100.0
2.0,0.7,1000,7500,CMS+cache,86.97333333333333,0.0,100.0,100.0
2.0,0.7,1000,10000,Base,,0.0,100.0,9.94
2.0,0.7,1000,10000,Con cache,90.06,0.0,100.0,100.0
2.0,0.7,1000,10000,CMS+cache,90.06,0.0,100.0,100.0
2.0,0.7,1000,15000,Base,,0.0,100.0,6.660000000000001
2.0,0.7,1000,15000,Con cache,93.34,0.0,100.0,100.0
